pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสวิชา,72,0.194444,,0.805556,0,112,0,14,576
vlm,ชื่อวิชา (ไทย) ⭐,72,0.220354,0.301887,0.777778,0,453,45,14,2260
vlm,ชื่อวิชา (อังกฤษ) ⭐,72,0.231006,0.22884,0.791667,5,478,43,14,2277
vlm,หน่วยกิต,72,0.330696,,0.652778,11,190,8,19,632
vlm,ปี/ภาค,72,0.223529,,0.805556,0,38,0,14,170
vlm,หมวดวิชา,72,0.201375,,0.791667,0,205,0,15,1018
vlm,บังคับ/เลือก,72,0.203518,,0.805556,0,81,0,14,398
vlm,วิชาบังคับก่อน,58,0.0,,1.0,0,0,0,0,296
vlm,ปี/ภาคยืดหยุ่น,58,1.333333,,0.672414,0,0,76,0,57
